date,total_customer_count,fixed_customer_count,fixed_customer_ratio
2025-02-21,64,44,0.6875
2025-02-22,46,31,0.673913
2025-02-23,32,19,0.59375
2025-02-24,49,26,0.530612
2025-02-25,63,44,0.698413
2025-02-26,62,36,0.580645
2025-02-27,70,39,0.557143
2025-02-28,67,39,0.58209
2025-03-01,47,30,0.638298
2025-03-02,33,19,0.575758
2025-03-03,57,32,0.561404
2025-03-04,62,43,0.693548
2025-03-05,54,33,0.611111
2025-03-06,62,40,0.645161
2025-03-07,71,44,0.619718
2025-03-08,57,37,0.649123
2025-03-10,60,34,0.566667
2025-03-11,62,44,0.709677
2025-03-12,62,38,0.612903
2025-03-13,63,41,0.650794
2025-03-14,69,46,0.666667
2025-03-15,49,32,0.653061
2025-03-16,31,18,0.580645
2025-03-17,54,31,0.574074
2025-03-18,65,46,0.707692
2025-03-19,70,40,0.571429
2025-03-20,45,25,0.555556
2025-03-21,75,48,0.64
2025-03-22,54,38,0.703704
2025-03-23,32,17,0.53125
2025-03-24,60,32,0.533333
2025-03-25,71,50,0.704225
2025-03-26,57,34,0.596491
2025-03-27,56,39,0.696429
2025-03-28,70,45,0.642857
2025-03-29,51,35,0.686275
2025-03-30,31,15,0.483871
2025-03-31,58,39,0.672414
2025-04-01,61,42,0.688525
2025-04-02,66,36,0.545455
2025-04-03,57,37,0.649123
2025-04-04,64,45,0.703125
2025-04-05,48,33,0.6875
2025-04-06,29,16,0.551724
2025-04-07,54,37,0.685185
2025-04-08,58,46,0.793103
2025-04-09,60,33,0.55
2025-04-10,60,40,0.666667
2025-04-11,59,40,0.677966
2025-04-12,48,34,0.708333
2025-04-14,58,31,0.534483
2025-04-15,65,41,0.630769
2025-04-16,64,39,0.609375
2025-04-17,62,36,0.580645
2025-04-18,66,40,0.606061
2025-04-19,50,30,0.6
2025-04-20,30,16,0.533333
2025-04-21,58,37,0.637931
2025-04-22,68,41,0.602941
2025-04-23,60,34,0.566667
2025-04-24,60,40,0.666667
2025-04-25,66,41,0.621212
2025-04-26,52,32,0.615385
2025-04-27,27,14,0.518519
2025-04-28,56,33,0.589286
2025-04-29,52,25,0.480769
2025-04-30,57,40,0.701754
2025-05-01,60,42,0.7
2025-05-02,71,45,0.633803
2025-05-07,64,42,0.65625
2025-05-08,60,38,0.633333
2025-05-09,66,49,0.742424
2025-05-10,48,33,0.6875
2025-05-11,27,16,0.592593
2025-05-12,52,34,0.653846
2025-05-13,67,46,0.686567
2025-05-14,59,37,0.627119
2025-05-15,54,40,0.740741
2025-05-16,64,50,0.78125
2025-05-17,50,35,0.7
2025-05-18,31,15,0.483871
2025-05-19,55,36,0.654545
2025-05-20,62,44,0.709677
2025-05-21,59,40,0.677966
2025-05-22,61,37,0.606557
2025-05-23,58,42,0.724138
