date,reserve_count,reserve_sum,fixed_ratio
2025-02-14,1.0,75.0,58.0
2025-02-15,1.0,88.0,79.0
2025-02-16,1.0,60.0,38.0
2025-02-17,1.0,92.0,56.0
2025-02-18,1.0,95.0,63.0
2025-02-19,1.0,84.0,60.0
2025-02-20,1.0,90.0,57.0
2025-02-21,1.0,95.0,67.0
2025-02-22,1.0,69.0,50.0
2025-02-23,1.0,55.0,37.0
2025-02-24,1.0,87.0,51.0
2025-02-25,1.0,87.0,64.0
2025-02-26,1.0,89.0,57.0
2025-02-27,1.0,99.0,64.0
2025-02-28,1.0,94.0,64.0
2025-03-01,1.0,73.0,48.0
2025-03-02,1.0,57.0,41.0
2025-03-03,1.0,79.0,48.0
2025-03-04,1.0,96.0,71.0
2025-03-05,1.0,78.0,51.0
2025-03-06,1.0,103.0,69.0
2025-03-07,1.0,101.0,69.0
2025-03-08,1.0,97.0,70.0
2025-03-10,1.0,91.0,48.0
2025-03-11,1.0,89.0,64.0
2025-03-12,1.0,88.0,57.0
2025-03-13,1.0,104.0,74.0
2025-03-14,1.0,98.0,71.0
2025-03-15,1.0,76.0,50.0
2025-03-16,1.0,54.0,40.0
2025-03-17,1.0,74.0,47.0
